word,pos,synonym
ผู้หญิง,n,กระลาพิม|กระลาศรี|กัญญา|กันย์|กันยา|กัลยา|กัลยาณี|กานดา|กามินี|แก้วตา|จอมขวัญ|จอมใจ|ฉัยยา|โฉมตรู|ไฉยา|ชารี|ดรุณี|ดวงสมร|ถี|ทรามเชย|ทรามวัย|ทรามสงวน|ทรามสวาท|นงคราญ|นงพะงา|นงพาล|นงพุธ|นงโพธ|นงเยาว์|นงราม|นงลักษณ์|นรี|นารี|นาเรศ|นิรมล|บังอร|พธู|พนิดา|พุ่มพวง|ภีรุ|มาณวิกา|มาตุคาม|มารศรี|ยุพดี|ยุพยง|ยุพเยาว์|ยุพเรศ|ยุพา|ยุพาน|ยุพาพาล|ยุพาพิน|ยุพิน|ยุวดี|เยาวพา|เยาวมาลย์|เยาวเรศ|เยาวลักษณ์|รมณี|ร้อยชั่ง|ลลนา|วธู|วนิดา|วรดนู|สตรี|สมร|สะคราญ|สายสมร|สุดา|อนงค์|อร|อรทัย|อรนุช|อังคณา|อิตถี|อิสตรี|อิสัตรี
เด็ก,n,พาล|ทารก|ดรุณ|กุมาร|ศิศุ
พ่อ,n,ชนก|เตี่ย|บิดร|บิดา|บิตุรงค์|บิตุเรศ|ป๋า|ปาปอหยีสังฆาตา|ปิตุ|สังคาตา
แม่,n,ชนนี|ชเนตตี|นนทลี|มาดา|มาตฤ|มาตา|มาตุ|มาตุรงค์|มาตุเรศ|มารดร|มารดา|เม|อัมพา
ปู่,n,ก๋ง|ปิตามหะ|อัยกะ|อัยกา
ย่า,n,อัยกี|อัยยิกา
ตา,n,ก๋ง|ขรัวตา|มาตามหะ|อัยกะ|อัยกา
ยาย,n,ขรัวยาย|มาตามหา|อัยกี|อัยยิกา
ภรรยา,n,เมีย|ภริยา|ฆรณี|ปัตนี|สนม|ชายา|ชาเยนทร์|ชาเยศ|มเหสี
สามี,n,ผัว|สวามี|ภัสดา|ภรรดร|ภรรดา
ลูก,n,บุตร|กูน|ดนุช|เอารส
ลูกชาย,n,บุตร|โอรส|ดนยะ|ดนัย
ลูกสาว,n,บุตรี|ธิดา|สุดา|ดนยา
น้องชาย,n,กนิษฐภาดา|อนุชา
เพื่อน,n,เกลอ|คนสนิท|คู่ซี้|คู่หู|มิตร|วยัสย์|สขะ|สขา|สขิ|สหาย|เสี่ยว
ใจ,n,กมล|กระมล|มโน|มน|แด|หทัย|หฤทัย|ฤทัย|ฤดี|จิต|ดวงใจ|หัวใจ
